"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group D","high school","free/reduced","completed","32","43","46"
"female","group E","associate's degree","standard","none","95","92","90"
"male","group A","some college","standard","completed","76","73","74"
"male","group C","master's degree","standard","none","100","90","91"
"male","group C","some high school","standard","none","69","53","52"
"male","group B","some college","standard","none","53","58","56"
"female","group C","some high school","free/reduced","none","45","68","58"
"female","group C","bachelor's degree","standard","none","80","81","77"
"female","group E","some college","standard","none","76","70","71"
"female","group D","associate's degree","free/reduced","completed","67","84","89"
"female","group A","high school","standard","completed","79","88","89"
"female","group A","high school","standard","completed","53","64","72"
"female","group E","associate's degree","standard","completed","98","100","100"
"female","group B","some high school","free/reduced","none","37","50","48"
"male","group C","some college","free/reduced","none","44","55","49"
"male","group D","associate's degree","standard","none","74","70","57"
"male","group D","high school","standard","none","61","54","49"
"male","group B","some college","standard","none","75","69","69"
"female","group C","high school","standard","completed","59","78","80"
"male","group C","associate's degree","free/reduced","none","65","69","62"
"female","group C","some high school","standard","completed","59","64","62"
"male","group B","associate's degree","standard","none","78","70","72"
"male","group C","some college","standard","none","77","71","64"
"male","group B","bachelor's degree","standard","completed","65","71","61"
"male","group B","some college","free/reduced","completed","62","58","61"
"female","group C","high school","standard","none","43","51","54"
"female","group E","associate's degree","free/reduced","none","65","77","75"
"male","group D","some college","standard","none","79","78","74"
"male","group D","some high school","free/reduced","none","57","62","56"
"male","group C","associate's degree","standard","none","76","67","60"
"male","group D","some high school","free/reduced","completed","59","48","49"
"female","group C","some college","free/reduced","none","48","70","63"
"female","group A","associate's degree","standard","completed","51","61","68"
"female","group C","some college","standard","completed","50","76","73"
"male","group E","associate's degree","standard","none","89","83","77"
"male","group C","some high school","free/reduced","none","37","43","39"
"female","group B","associate's degree","standard","none","81","87","90"
"male","group E","some college","standard","none","96","81","76"
"male","group C","bachelor's degree","free/reduced","none","59","74","64"
"female","group D","some college","standard","completed","75","82","86"
"male","group D","some college","standard","none","53","45","46"
"female","group C","high school","standard","none","72","77","70"
"male","group E","high school","standard","none","63","54","52"
"male","group A","associate's degree","standard","none","64","65","65"
"female","group E","associate's degree","free/reduced","none","82","91","84"
"female","group D","high school","standard","none","66","78","81"
"female","group B","high school","standard","none","79","79","71"
"female","group B","high school","standard","none","70","71","70"
"male","group E","associate's degree","free/reduced","none","85","84","74"
"female","group C","some college","free/reduced","none","53","61","63"
"female","group C","bachelor's degree","standard","completed","75","94","89"
"female","group D","associate's degree","free/reduced","none","81","85","88"
"female","group E","some college","free/reduced","none","59","55","55"
"female","group C","some college","standard","none","60","73","68"
"male","group B","some high school","standard","none","56","53","51"
"male","group B","some college","free/reduced","none","66","69","65"
"female","group E","some college","standard","none","67","79","71"
"male","group B","bachelor's degree","standard","completed","79","65","69"
"male","group C","associate's degree","free/reduced","none","29","30","25"
"female","group E","associate's degree","standard","none","87","94","91"
"male","group B","bachelor's degree","standard","completed","71","63","75"
"female","group C","some high school","standard","completed","84","96","100"
"female","group C","some college","standard","completed","60","71","71"
"male","group D","high school","standard","completed","58","58","54"
"female","group D","some high school","standard","none","51","56","61"
"male","group C","some high school","standard","none","66","63","53"
"male","group C","associate's degree","standard","none","81","83","76"
"female","group C","high school","standard","none","62","74","71"
"female","group C","some high school","standard","completed","86","100","97"
"female","group B","some college","free/reduced","none","76","76","78"
"female","group B","some college","standard","none","92","95","88"
"female","group C","high school","standard","none","71","74","68"
"male","group A","associate's degree","free/reduced","completed","61","74","71"
"female","group D","some college","free/reduced","none","45","56","56"
"female","group A","master's degree","standard","none","76","74","77"
"female","group D","high school","free/reduced","none","69","77","83"
"male","group E","high school","standard","none","69","61","54"
"female","group D","master's degree","standard","completed","83","96","100"
"female","group C","bachelor's degree","standard","completed","78","82","85"
"male","group B","high school","standard","completed","75","70","69"
"male","group C","high school","standard","completed","85","91","87"
"female","group C","high school","standard","none","43","58","54"
"female","group C","some high school","free/reduced","completed","61","66","66"
"male","group A","some college","standard","none","61","72","64"
"male","group C","some high school","standard","completed","90","88","84"
"female","group D","high school","standard","none","24","37","34"
"female","group C","high school","standard","completed","62","78","75"
"female","group C","high school","standard","none","65","72","69"
"female","group C","some college","standard","none","58","71","64"
"male","group D","master's degree","standard","completed","100","100","98"
"female","group C","some high school","standard","completed","79","86","90"
"male","group D","bachelor's degree","standard","none","80","75","78"
"male","group D","bachelor's degree","free/reduced","completed","67","67","74"
"female","group E","high school","standard","none","65","65","59"
"male","group C","associate's degree","standard","none","58","51","56"
"male","group E","some high school","free/reduced","none","47","47","37"
"female","group D","some high school","standard","none","66","79","77"
"female","group C","associate's degree","standard","completed","84","95","96"
"male","group D","some college","standard","completed","80","76","81"
"male","group B","some high school","standard","none","70","62","55"
"female","group D","some college","standard","none","63","73","68"
"male","group C","associate's degree","standard","completed","69","77","73"
"female","group C","associate's degree","standard","none","75","74","69"
"male","group E","high school","free/reduced","completed","71","59","58"
"male","group C","some college","standard","none","72","68","64"
"female","group D","some college","free/reduced","none","60","74","69"
"male","group B","some college","standard","none","66","52","54"
"female","group A","bachelor's degree","standard","none","74","83","83"
"male","group D","some high school","standard","completed","92","78","84"
"female","group B","some high school","standard","none","65","62","61"
"female","group D","some high school","standard","none","57","53","53"
"female","group C","some college","standard","none","42","66","63"
"female","group C","associate's degree","standard","none","66","76","75"
"female","group D","high school","standard","none","69","81","83"
"male","group C","associate's degree","standard","none","76","68","63"
"male","group A","some college","standard","completed","62","57","64"
"female","group C","bachelor's degree","standard","none","90","100","100"
"female","group D","bachelor's degree","standard","completed","79","89","97"
"female","group A","bachelor's degree","standard","completed","63","67","76"
"male","group A","associate's degree","free/reduced","none","52","52","54"
"female","group A","associate's degree","standard","completed","68","81","83"
"female","group A","associate's degree","free/reduced","completed","42","67","63"
"male","group D","some high school","standard","none","69","65","62"
"male","group C","some college","free/reduced","none","63","58","63"
"female","group C","some college","free/reduced","none","41","55","56"
"male","group D","some college","standard","completed","68","64","66"
"male","group C","associate's degree","free/reduced","none","66","69","64"
"female","group A","associate's degree","free/reduced","none","57","80","75"
"female","group E","associate's degree","standard","none","68","75","79"
"male","group C","some high school","free/reduced","none","53","62","52"
"male","group D","some college","standard","completed","83","78","84"
"female","group D","some college","standard","none","53","66","67"
"male","group D","master's degree","standard","none","62","66","57"
"female","group C","some high school","standard","none","69","76","72"
"female","group B","associate's degree","standard","none","53","61","59"
"male","group B","associate's degree","standard","none","80","60","67"
"female","group B","some high school","standard","completed","87","97","95"
"male","group D","some college","standard","none","79","78","76"
"male","group C","high school","standard","completed","67","70","65"
"female","group D","some college","free/reduced","none","63","64","70"
"male","group B","some college","standard","none","48","51","49"
"female","group C","bachelor's degree","standard","none","62","69","70"
"female","group E","some high school","standard","none","52","66","58"
"male","group C","high school","standard","none","43","31","30"
"male","group B","high school","standard","none","76","72","68"
"male","group C","some college","standard","completed","82","87","84"
"female","group E","some college","free/reduced","none","77","97","87"
"male","group E","bachelor's degree","free/reduced","completed","91","78","84"
"female","group E","associate's degree","free/reduced","none","73","76","74"
"female","group C","bachelor's degree","standard","none","67","69","67"
"female","group B","high school","free/reduced","completed","61","81","82"
"male","group C","some high school","standard","completed","78","87","83"
"female","group C","bachelor's degree","standard","completed","56","71","69"
"female","group B","bachelor's degree","standard","completed","71","85","83"
"female","group C","high school","standard","completed","70","77","83"
"female","group D","some high school","standard","completed","49","63","64"
"female","group B","some high school","standard","completed","81","96","98"
"female","group B","some college","standard","none","75","65","70"
"female","group E","some college","free/reduced","completed","73","86","86"
"male","group C","some college","standard","completed","64","61","61"
"female","group B","associate's degree","free/reduced","none","45","61","59"
"female","group B","some high school","free/reduced","none","55","67","58"
"male","group C","high school","standard","none","50","42","41"
"female","group B","bachelor's degree","free/reduced","completed","59","77","79"
"female","group A","some high school","standard","none","75","80","80"
"male","group B","associate's degree","standard","completed","50","46","43"
"female","group C","high school","standard","none","51","57","61"
"female","group C","some high school","free/reduced","none","50","57","50"
"male","group D","high school","free/reduced","completed","61","53","54"
"male","group E","some high school","standard","none","79","66","70"
"female","group A","some high school","standard","none","63","75","77"
"female","group C","some high school","standard","completed","62","64","70"
"female","group A","some high school","standard","none","48","47","49"
"male","group D","master's degree","free/reduced","none","59","66","62"
"female","group D","associate's degree","free/reduced","none","63","80","76"
"female","group D","some high school","standard","none","76","73","79"
"female","group D","master's degree","standard","completed","82","87","90"
"female","group B","high school","standard","none","55","65","69"
"male","group C","high school","standard","completed","76","83","72"
"male","group D","master's degree","standard","none","62","54","53"
"female","group C","master's degree","free/reduced","none","55","73","67"
"male","group C","some high school","free/reduced","completed","53","59","50"
"female","group D","some high school","standard","none","67","76","72"
"male","group C","some college","standard","none","78","70","66"
"male","group B","some college","standard","none","63","64","61"
"male","group B","high school","free/reduced","none","67","62","64"
"male","group C","some high school","standard","none","81","74","68"
"male","group C","associate's degree","free/reduced","none","69","61","60"
"female","group A","master's degree","standard","none","83","83","81"
"male","group C","bachelor's degree","standard","completed","88","91","92"
"male","group C","high school","standard","completed","73","71","71"
"male","group C","some high school","standard","completed","52","53","49"
"male","group C","bachelor's degree","standard","none","64","63","62"
"female","group C","associate's degree","standard","completed","60","76","81"
"female","group C","associate's degree","free/reduced","completed","60","80","82"
"male","group D","high school","standard","none","65","60","67"
"male","group A","associate's degree","free/reduced","none","50","56","46"
"male","group C","high school","standard","none","91","88","83"
"male","group D","high school","standard","none","60","67","58"
"female","group C","some college","standard","none","45","59","61"
"female","group C","associate's degree","standard","completed","89","91","95"
"male","group B","associate's degree","standard","none","84","74","72"
"female","group D","associate's degree","standard","none","79","81","84"
"male","group E","some high school","free/reduced","none","49","49","35"
"male","group D","associate's degree","standard","completed","70","76","75"
"female","group E","some high school","standard","none","54","48","44"
"female","group D","some college","free/reduced","none","65","60","64"
"female","group B","some high school","standard","completed","66","74","78"
"female","group A","high school","standard","none","68","81","81"
"male","group C","some college","standard","none","52","38","38"
"male","group D","associate's degree","standard","completed","63","55","58"
"female","group C","associate's degree","standard","none","80","75","75"
"female","group D","some college","standard","completed","76","89","94"
"male","group E","some college","free/reduced","none","69","52","53"
"male","group D","some college","standard","completed","80","70","69"
"female","group D","associate's degree","standard","none","77","87","87"
"male","group D","associate's degree","standard","completed","64","63","65"
"male","group D","associate's degree","free/reduced","none","45","37","36"
"female","group E","some college","free/reduced","none","76","77","75"
"female","group D","high school","standard","none","81","83","85"
"male","group D","associate's degree","free/reduced","completed","46","47","44"
"female","group C","some college","standard","none","76","78","69"
"male","group C","associate's degree","free/reduced","none","34","31","31"
"female","group B","some high school","free/reduced","none","29","40","36"
"male","group A","some college","free/reduced","none","62","56","55"
"male","group A","high school","standard","completed","78","70","65"
"female","group B","some high school","free/reduced","completed","60","73","70"
"female","group C","master's degree","standard","completed","82","100","100"
"female","group C","bachelor's degree","standard","none","53","66","68"
"female","group D","bachelor's degree","standard","none","76","90","84"
"male","group A","associate's degree","free/reduced","none","69","72","62"
"female","group B","master's degree","standard","completed","69","80","86"
"male","group E","some high school","free/reduced","completed","49","58","55"
"male","group D","associate's degree","standard","none","93","84","78"
"male","group D","high school","free/reduced","completed","67","66","63"
"male","group D","associate's degree","free/reduced","none","69","61","58"
"male","group B","some high school","standard","completed","95","86","83"
"male","group B","master's degree","standard","none","76","79","75"
"female","group C","associate's degree","standard","none","72","70","76"
"female","group B","some high school","standard","none","83","86","84"
"male","group A","high school","standard","none","64","51","52"
"female","group C","some college","standard","none","84","93","84"
"female","group B","high school","standard","completed","79","89","86"
"female","group C","high school","free/reduced","none","59","73","68"
"male","group C","some college","standard","completed","96","95","92"
"female","group C","some high school","free/reduced","none","48","53","51"
"male","group D","some college","free/reduced","none","53","53","45"
"male","group D","associate's degree","standard","none","71","75","76"
"female","group E","bachelor's degree","standard","completed","95","86","85"
"female","group C","bachelor's degree","free/reduced","none","48","42","48"
"female","group C","some college","standard","none","68","75","74"
"male","group C","some college","free/reduced","completed","54","58","50"
"female","group D","associate's degree","standard","none","80","90","96"
"female","group C","bachelor's degree","standard","none","68","74","74"
"male","group D","some college","standard","none","84","72","78"
"female","group B","some college","standard","none","42","58","50"
"female","group C","bachelor's degree","free/reduced","none","58","68","65"
"female","group D","some high school","standard","completed","40","52","56"
"male","group C","some high school","free/reduced","none","53","46","40"
"female","group E","some college","free/reduced","completed","77","74","81"
"male","group D","some high school","standard","none","74","70","71"
"male","group C","associate's degree","standard","none","57","57","53"
"male","group C","some college","free/reduced","completed","50","48","50"
"female","group C","some high school","standard","none","59","63","64"
"male","group B","some high school","free/reduced","none","47","41","40"
"female","group B","some high school","standard","none","81","90","91"
"female","group A","high school","standard","none","67","81","70"
"female","group D","high school","standard","none","79","85","81"
"female","group D","some college","free/reduced","none","60","72","71"
"male","group D","associate's degree","standard","none","63","55","54"
"female","group E","associate's degree","standard","none","79","96","96"
"male","group D","some high school","free/reduced","completed","82","88","87"
"male","group E","associate's degree","standard","none","71","64","56"
"male","group D","high school","standard","none","64","66","64"
"male","group D","some college","standard","completed","91","89","94"
"female","group D","high school","free/reduced","none","41","52","54"
"male","group C","bachelor's degree","standard","none","85","79","82"
"male","group C","high school","standard","none","57","52","46"
"male","group B","some high school","free/reduced","none","39","37","33"
"male","group B","master's degree","standard","completed","62","66","66"
"female","group C","high school","standard","completed","63","76","68"
"female","group C","bachelor's degree","free/reduced","none","71","76","70"
"female","group C","some college","standard","completed","70","74","83"
"male","group E","high school","free/reduced","none","54","47","52"
"male","group C","bachelor's degree","standard","none","86","79","80"
"male","group D","high school","standard","none","78","60","68"
"female","group C","associate's degree","standard","completed","66","76","78"
"female","group C","some college","free/reduced","none","59","63","64"
"female","group C","associate's degree","free/reduced","none","38","40","40"
"female","group D","some high school","standard","none","51","50","54"
"male","group A","high school","standard","none","64","72","61"
"female","group D","associate's degree","free/reduced","completed","64","77","78"
"male","group D","bachelor's degree","standard","completed","77","59","62"
"female","group E","some college","standard","none","53","62","60"
"female","group C","associate's degree","free/reduced","none","70","79","83"
"male","group E","some high school","standard","completed","88","69","73"
"female","group D","some college","free/reduced","none","47","52","62"
"male","group C","some college","free/reduced","none","59","57","44"
"female","group E","high school","standard","none","86","84","82"
"female","group C","some college","standard","none","91","88","90"
"female","group A","some college","standard","none","65","74","77"
"male","group C","high school","standard","none","67","69","63"
"male","group D","some high school","standard","none","80","70","66"
"female","group E","bachelor's degree","free/reduced","none","72","74","74"
"male","group E","associate's degree","standard","none","83","75","68"
"male","group C","some college","standard","none","53","55","48"
"female","group B","associate's degree","standard","none","55","63","58"
"male","group B","some high school","standard","none","84","89","81"
"male","group C","some college","standard","none","51","48","50"
"male","group E","some college","free/reduced","completed","64","66","63"
"male","group C","some high school","standard","none","66","61","57"
"male","group B","high school","standard","none","75","73","69"
"male","group B","high school","free/reduced","completed","64","65","61"
"female","group C","bachelor's degree","standard","completed","70","75","82"
"female","group C","some high school","standard","none","49","55","53"
"female","group C","some college","standard","none","50","60","56"
"male","group C","some high school","free/reduced","none","12","13","3"
"male","group C","associate's degree","standard","completed","98","96","92"
"male","group C","some high school","standard","completed","56","52","55"
"male","group D","associate's degree","free/reduced","completed","48","58","61"
"male","group C","some high school","free/reduced","completed","46","42","44"
"female","group D","some college","standard","none","47","55","52"
"male","group B","some high school","standard","none","47","48","41"
"male","group E","some high school","free/reduced","completed","81","75","76"
"male","group C","associate's degree","standard","none","70","64","59"
"male","group D","associate's degree","standard","none","67","67","58"
"male","group C","high school","free/reduced","completed","48","55","55"
"male","group A","associate's degree","standard","completed","88","88","86"
"female","group A","some college","standard","none","56","72","72"
"male","group E","associate's degree","standard","none","100","90","93"
"male","group E","high school","free/reduced","none","63","55","49"
"female","group C","some college","standard","completed","94","99","99"
"female","group C","some high school","standard","none","66","71","62"
"male","group D","some high school","free/reduced","completed","48","37","37"
"male","group A","some high school","standard","none","50","47","45"
"female","group B","some college","standard","completed","84","89","92"
"male","group D","some college","standard","none","86","78","70"
"male","group D","high school","standard","none","75","70","71"
"female","group C","high school","free/reduced","none","66","78","73"
"male","group D","some college","free/reduced","none","59","63","59"
"female","group A","high school","standard","completed","50","55","59"
"male","group E","master's degree","free/reduced","none","63","51","48"
"male","group C","some high school","free/reduced","none","69","61","58"
"male","group D","some high school","standard","none","49","49","45"
"female","group C","some high school","standard","none","79","98","88"
"male","group E","some high school","standard","completed","78","77","79"
"female","group B","some college","free/reduced","completed","60","74","72"
"male","group B","high school","free/reduced","completed","70","65","71"
"male","group E","high school","free/reduced","none","69","61","55"
"female","group C","bachelor's degree","free/reduced","completed","76","96","94"
"male","group D","bachelor's degree","free/reduced","none","65","63","58"
"female","group D","some high school","standard","none","60","68","60"
"male","group E","bachelor's degree","standard","completed","85","70","68"
"female","group E","some college","standard","completed","84","83","84"
"male","group C","some college","standard","completed","82","79","79"
"female","group A","some high school","standard","none","52","74","70"
"female","group C","bachelor's degree","standard","completed","66","78","83"
"female","group E","master's degree","free/reduced","none","42","39","46"
"female","group D","high school","standard","none","90","88","94"
"male","group C","some college","free/reduced","none","44","49","38"
"male","group D","associate's degree","standard","completed","94","87","89"
"male","group E","associate's degree","free/reduced","completed","81","82","73"
"male","group B","associate's degree","standard","none","68","62","62"
"female","group A","master's degree","standard","none","71","82","80"
"male","group D","some high school","standard","completed","74","82","80"
"male","group B","some high school","standard","none","66","60","58"
"male","group C","associate's degree","standard","none","53","54","47"
"female","group D","associate's degree","standard","none","61","68","69"
"male","group B","some college","standard","none","61","45","45"
"female","group B","master's degree","standard","completed","86","85","92"
"female","group A","associate's degree","standard","completed","75","86","85"
"female","group A","high school","standard","none","80","80","79"
"female","group A","some college","standard","none","57","66","66"
"female","group C","master's degree","free/reduced","completed","77","100","100"
"male","group B","some college","standard","none","47","42","34"
"male","group D","associate's degree","standard","completed","74","62","63"
"female","group B","some college","free/reduced","none","46","61","60"
"male","group A","some high school","free/reduced","none","53","40","39"
"female","group C","associate's degree","standard","none","73","82","75"
"male","group D","bachelor's degree","free/reduced","completed","61","62","59"
"female","group D","some college","free/reduced","none","83","85","86"
"male","group E","bachelor's degree","free/reduced","none","69","67","59"
"female","group D","some high school","standard","none","81","86","87"
"male","group C","some college","free/reduced","none","73","69","77"
"male","group D","bachelor's degree","free/reduced","none","52","50","51"
"male","group D","master's degree","standard","none","91","94","94"
"male","group B","associate's degree","standard","completed","85","75","76"
"male","group C","bachelor's degree","standard","completed","70","65","66"
"female","group C","high school","free/reduced","none","40","60","46"
"male","group B","some high school","standard","none","77","59","56"
"male","group C","some college","standard","none","40","45","38"
"female","group C","some high school","free/reduced","none","49","64","60"
"female","group A","bachelor's degree","standard","none","50","61","62"
"male","group D","some high school","free/reduced","none","75","79","74"
"female","group B","associate's degree","standard","none","70","77","77"
"female","group C","associate's degree","standard","none","76","88","90"
"female","group B","some college","standard","none","29","27","30"
"female","group C","bachelor's degree","standard","completed","56","73","72"
"male","group D","associate's degree","free/reduced","none","91","78","83"
"female","group E","some college","standard","none","54","56","64"
"male","group E","master's degree","standard","completed","96","86","82"
"female","group D","associate's degree","standard","none","78","86","87"
"male","group B","associate's degree","standard","none","65","58","49"
"male","group E","master's degree","standard","completed","91","86","88"
"male","group C","associate's degree","standard","completed","75","71","65"
"male","group D","some high school","free/reduced","none","69","77","61"
"female","group B","some college","free/reduced","completed","79","79","82"
"male","group B","some college","standard","none","60","59","55"
"female","group C","some high school","standard","none","54","64","63"
"female","group A","high school","standard","none","77","81","81"
"male","group B","high school","standard","none","62","61","62"
"male","group E","some college","standard","completed","73","70","66"
"female","group B","associate's degree","free/reduced","completed","43","69","66"
"female","group C","master's degree","standard","none","75","73","76"
"male","group D","associate's degree","standard","completed","61","56","59"
"male","group D","bachelor's degree","standard","none","69","62","58"
"female","group B","some high school","standard","completed","79","87","95"
"male","group C","some college","free/reduced","completed","77","80","77"
"male","group D","high school","standard","none","81","69","68"
"female","group B","high school","free/reduced","completed","60","73","71"
"female","group C","associate's degree","free/reduced","none","62","73","72"
"female","group C","some college","standard","completed","54","69","65"
"female","group D","associate's degree","standard","completed","68","71","79"
"female","group D","associate's degree","free/reduced","none","69","75","83"
"female","group B","associate's degree","standard","completed","85","92","89"
"male","group D","some high school","standard","none","55","54","52"
"female","group B","associate's degree","free/reduced","none","62","75","74"
"female","group B","high school","standard","none","57","65","63"
"female","group C","bachelor's degree","standard","none","72","72","74"
"male","group E","high school","free/reduced","completed","71","72","69"
"male","group C","some college","free/reduced","none","57","52","44"
"female","group C","bachelor's degree","standard","none","68","76","79"
"female","group C","high school","standard","none","36","57","49"
"female","group E","some high school","free/reduced","none","58","68","61"
"female","group C","some high school","free/reduced","completed","72","84","84"
"male","group B","some college","standard","none","82","75","73"
"female","group D","some high school","standard","none","72","71","78"
"female","group E","some high school","standard","completed","88","93","90"
"male","group D","bachelor's degree","free/reduced","completed","84","85","80"
"female","group C","master's degree","free/reduced","completed","56","78","76"
"male","group C","associate's degree","standard","none","71","69","63"
"female","group C","some college","standard","completed","62","72","68"
"male","group D","associate's degree","free/reduced","none","68","62","62"
"male","group D","bachelor's degree","standard","none","86","84","80"
"male","group A","some high school","free/reduced","none","67","64","63"
"female","group C","high school","standard","none","74","68","65"
"female","group D","some college","standard","none","55","66","68"
"female","group B","bachelor's degree","standard","none","71","81","82"
"male","group D","master's degree","standard","none","93","79","76"
"female","group D","high school","standard","completed","59","67","71"
"female","group E","associate's degree","standard","none","53","65","65"
"female","group B","high school","standard","none","70","78","75"
"male","group B","high school","free/reduced","none","73","75","68"
"male","group C","associate's degree","standard","none","86","87","84"
"female","group C","some college","standard","none","59","68","63"
"male","group C","high school","standard","none","68","64","61"
"male","group D","high school","standard","none","72","72","72"
"male","group C","bachelor's degree","standard","none","74","68","67"
"male","group B","some college","free/reduced","completed","60","57","57"
"female","group D","high school","free/reduced","none","50","70","68"
"female","group E","some high school","standard","none","77","81","79"
"male","group D","associate's degree","standard","none","43","37","36"
"female","group C","associate's degree","free/reduced","none","27","30","39"
"female","group B","some college","standard","none","66","72","68"
"female","group E","master's degree","standard","none","90","98","92"
"male","group D","high school","free/reduced","none","59","43","38"
"male","group C","bachelor's degree","free/reduced","completed","58","50","52"
"male","group D","bachelor's degree","free/reduced","none","72","69","64"
"female","group C","some college","free/reduced","none","47","66","57"
"female","group B","master's degree","free/reduced","none","44","68","60"
"male","group B","high school","free/reduced","completed","73","79","67"
"female","group C","high school","free/reduced","none","43","61","57"
"female","group C","some college","standard","none","54","68","67"
"male","group A","high school","standard","none","75","77","68"
"female","group B","associate's degree","standard","none","56","63","60"
"female","group C","bachelor's degree","free/reduced","none","43","57","58"
"female","group E","some high school","standard","completed","70","76","80"
"male","group D","some high school","standard","completed","87","75","83"
"male","group C","high school","standard","none","76","71","63"
"male","group B","associate's degree","standard","none","76","65","65"
"female","group A","bachelor's degree","standard","none","60","67","69"
"female","group E","high school","standard","none","78","73","70"
"female","group A","some high school","standard","none","69","87","74"
"male","group C","high school","standard","completed","70","75","75"
"male","group A","some high school","standard","none","72","64","62"
"male","group C","some college","standard","completed","75","68","68"
"female","group D","high school","standard","none","88","99","92"
"male","group E","associate's degree","free/reduced","completed","54","63","58"
"male","group A","high school","standard","none","59","63","58"
"male","group B","associate's degree","standard","none","60","48","51"
"female","group D","some college","free/reduced","none","48","47","51"
"male","group B","high school","standard","none","59","54","51"
"male","group C","associate's degree","standard","none","93","81","83"
"male","group C","associate's degree","standard","none","74","71","67"
"female","group C","high school","free/reduced","completed","56","83","77"
"female","group C","some high school","standard","none","49","44","49"
"female","group B","some high school","standard","none","63","63","65"
"female","group C","some high school","free/reduced","none","52","66","58"
"female","group C","master's degree","standard","none","87","98","98"
"male","group A","bachelor's degree","free/reduced","none","68","59","59"
"male","group C","bachelor's degree","standard","none","95","89","90"
"male","group E","associate's degree","standard","completed","95","87","90"
