gender;race/ethnicity;parental level of education;lunch;test preparation course;math score;reading score;writing score;output
female;group C;some college;standard;completed;74;87;93;254
male;group E;some college;standard;none;99;92;88;279
female;group C;high school;standard;none;80;87;80;247
male;group E;high school;free/reduced;none;59;49;43;151
female;group B;high school;standard;completed;42;50;56;148
male;group A;associate's degree;standard;none;40;41;39;120
female;group B;high school;standard;none;85;90;89;264
female;group E;bachelor's degree;free/reduced;none;50;53;51;154
male;group C;high school;free/reduced;none;85;71;66;222
female;group E;some high school;standard;none;78;88;84;250
female;group D;some college;free/reduced;none;38;48;52;138
female;group E;high school;standard;none;79;73;75;227
female;group B;associate's degree;free/reduced;none;43;62;56;161
male;group D;bachelor's degree;standard;completed;82;84;84;250
male;group D;some high school;standard;completed;54;52;52;158
female;group E;high school;standard;completed;79;78;83;240
female;group D;some high school;standard;completed;60;77;81;218
male;group C;bachelor's degree;standard;completed;42;37;41;120
male;group D;associate's degree;standard;completed;72;67;73;212
male;group B;some college;standard;completed;73;76;74;223
female;group B;associate's degree;standard;completed;60;67;71;198
male;group D;associate's degree;free/reduced;completed;51;56;60;167
male;group C;some college;standard;none;64;59;57;180
male;group D;some college;standard;completed;86;90;92;268
male;group C;associate's degree;standard;completed;92;83;85;260
female;group B;high school;free/reduced;completed;62;72;67;201
male;group E;some college;standard;none;100;91;87;278
female;group D;bachelor's degree;free/reduced;none;73;85;84;242
male;group A;associate's degree;standard;none;79;87;83;249
male;group C;associate's degree;free/reduced;none;43;39;33;115
female;group D;some college;standard;none;79;89;90;258
male;group D;associate's degree;standard;none;59;52;49;160
female;group C;high school;free/reduced;none;50;53;53;156
female;group C;some college;standard;none;56;56;63;175
female;group E;bachelor's degree;standard;none;39;39;41;119
male;group D;some college;free/reduced;completed;55;64;66;185
male;group B;some college;standard;none;65;53;63;181
male;group A;associate's degree;standard;none;54;52;49;155
female;group C;some college;standard;none;56;64;62;182
female;group C;master's degree;standard;none;68;82;73;223
female;group E;some college;free/reduced;none;63;70;70;203
female;group D;bachelor's degree;free/reduced;none;41;51;51;143
male;group E;high school;standard;completed;75;59;59;193
male;group C;high school;standard;none;53;54;48;155
male;group D;some college;free/reduced;none;34;30;35;99
male;group A;high school;standard;completed;60;54;54;168
female;group D;some high school;standard;none;59;71;70;200
male;group B;associate's degree;standard;none;78;76;78;232
male;group D;bachelor's degree;standard;none;64;52;48;164
female;group D;associate's degree;free/reduced;completed;51;55;59;165
female;group C;high school;free/reduced;none;57;66;66;189
male;group A;some high school;standard;none;46;49;45;140
female;group B;associate's degree;standard;completed;75;82;82;239
male;group B;high school;standard;none;92;83;74;249
male;group E;high school;standard;completed;83;72;70;225
male;group B;master's degree;standard;none;76;61;66;203
male;group C;some high school;standard;none;50;46;41;137
male;group B;high school;standard;completed;53;49;50;152
female;group E;some college;standard;none;69;75;73;217
male;group D;associate's degree;standard;none;82;75;74;231
female;group E;high school;standard;none;79;84;78;241
female;group B;some college;standard;none;78;86;87;251
female;group E;some high school;free/reduced;none;52;63;58;173
male;group D;master's degree;free/reduced;none;86;92;84;262
female;group E;bachelor's degree;free/reduced;completed;67;87;85;239
male;group B;high school;free/reduced;completed;76;81;77;234
male;group C;associate's degree;standard;none;83;97;87;267
male;group E;high school;free/reduced;completed;52;46;49;147
female;group B;associate's degree;standard;completed;66;67;75;208
male;group B;some college;free/reduced;none;28;27;26;81
female;group D;associate's degree;free/reduced;completed;83;97;100;280
male;group B;associate's degree;standard;none;56;63;61;180
female;group C;high school;standard;none;76;78;71;225
female;group D;some high school;free/reduced;none;43;52;56;151
female;group E;master's degree;standard;completed;81;79;84;244
male;group B;master's degree;free/reduced;none;77;71;69;217
male;group C;associate's degree;standard;completed;70;65;67;202
female;group C;bachelor's degree;standard;none;77;84;85;246
female;group B;high school;standard;none;82;78;78;238
female;group C;some high school;standard;completed;71;76;69;216
male;group D;some high school;free/reduced;none;61;56;54;171
female;group D;master's degree;standard;none;86;81;90;257
male;group D;associate's degree;standard;none;55;53;48;156
male;group B;high school;standard;none;50;48;46;144
female;group A;some high school;free/reduced;none;65;74;75;214
female;group C;high school;standard;none;58;61;59;178
male;group C;high school;standard;none;77;65;61;203
female;group C;master's degree;standard;none;52;46;50;148
male;group D;high school;standard;completed;78;72;75;225
male;group C;high school;free/reduced;none;79;76;68;223
male;group C;bachelor's degree;free/reduced;completed;44;61;54;159
female;group D;high school;free/reduced;completed;67;72;73;212
female;group D;associate's degree;standard;completed;61;70;78;209
male;group C;bachelor's degree;standard;none;81;66;72;219
female;group A;some high school;free/reduced;completed;74;88;86;248
male;group D;bachelor's degree;standard;completed;72;75;76;223
female;group B;some high school;standard;none;55;73;65;193
male;group E;bachelor's degree;standard;none;87;81;71;239
female;group D;associate's degree;standard;completed;79;87;93;259
male;group D;bachelor's degree;standard;none;75;84;80;239
male;group E;some high school;standard;completed;95;89;88;272
male;group B;associate's degree;free/reduced;none;65;81;72;218
male;group B;high school;free/reduced;completed;58;64;60;182
female;group B;some college;free/reduced;completed;67;86;85;238
female;group D;some college;standard;completed;79;95;93;267
female;group C;associate's degree;standard;none;77;85;79;241
male;group B;some high school;free/reduced;none;62;51;47;160
male;group C;some high school;standard;none;55;53;47;155
male;group D;associate's degree;free/reduced;none;83;79;77;239
female;group A;high school;standard;completed;58;68;72;198
female;group B;some college;standard;none;62;71;63;196
female;group C;some college;standard;none;81;89;94;264
male;group C;some high school;free/reduced;completed;35;46;44;125
male;group D;high school;standard;completed;64;62;64;190
male;group C;high school;free/reduced;none;45;51;43;139
male;group B;associate's degree;free/reduced;none;56;64;57;177
female;group E;associate's degree;standard;completed;100;100;100;300
female;group D;high school;standard;completed;55;62;66;183
female;group A;some college;free/reduced;completed;76;87;89;252
female;group C;high school;standard;none;64;75;75;214
male;group B;some college;free/reduced;none;47;34;35;116
male;group E;bachelor's degree;standard;completed;83;70;75;228
female;group D;some college;standard;completed;56;55;61;172
female;group C;high school;standard;completed;56;77;68;201
female;group B;some college;standard;none;76;88;86;250
female;group C;some college;standard;completed;55;69;71;195
male;group B;master's degree;standard;none;85;79;72;236
male;group C;associate's degree;standard;completed;92;90;92;274
female;group D;some high school;free/reduced;completed;65;70;68;203
female;group D;master's degree;standard;none;82;75;82;239
male;group D;high school;standard;completed;82;78;77;237
female;group C;some college;standard;completed;67;74;77;218
female;group D;some college;standard;completed;89;100;100;289
male;group D;some college;free/reduced;none;40;48;40;128
male;group B;some college;free/reduced;completed;49;56;58;163
male;group E;some college;standard;completed;99;97;95;291
female;group D;some high school;standard;none;62;75;77;214
male;group B;bachelor's degree;free/reduced;none;81;70;70;221
male;group C;some high school;standard;none;75;73;69;217
female;group A;associate's degree;standard;none;79;82;80;241
male;group C;some high school;free/reduced;none;44;52;47;143
female;group B;associate's degree;standard;completed;79;84;93;256
female;group B;some college;free/reduced;none;54;71;69;194
male;group B;associate's degree;standard;none;64;61;59;184
male;group D;associate's degree;standard;none;66;70;70;206
female;group C;associate's degree;free/reduced;none;29;46;42;117
male;group E;some college;standard;completed;82;74;76;232
male;group B;associate's degree;standard;none;64;74;60;198
male;group B;associate's degree;standard;completed;83;80;79;242
male;group E;associate's degree;standard;none;66;58;55;179
male;group C;some college;standard;completed;81;85;87;253
female;group C;associate's degree;free/reduced;completed;58;74;76;208
male;group C;high school;standard;none;64;72;58;194
female;group C;bachelor's degree;free/reduced;completed;77;93;91;261
male;group B;high school;standard;completed;48;54;57;159
female;group D;associate's degree;standard;none;76;70;75;221
male;group C;high school;standard;completed;72;70;60;202
male;group B;some high school;standard;completed;73;75;72;220
male;group C;some high school;free/reduced;none;25;21;17;63
female;group D;high school;standard;none;71;76;80;227
male;group B;some high school;standard;none;67;57;58;182
female;group D;associate's degree;standard;completed;83;97;95;275
female;group C;some college;standard;none;76;90;88;254
male;group C;some high school;free/reduced;none;48;57;45;150
male;group D;bachelor's degree;free/reduced;completed;54;48;51;153
female;group C;some college;standard;none;55;67;59;181
male;group C;some college;standard;none;56;57;49;162
male;group E;bachelor's degree;standard;none;80;69;65;214
female;group D;associate's degree;free/reduced;completed;82;89;97;268
male;group C;some college;standard;none;75;73;67;215
female;group C;high school;free/reduced;completed;73;84;78;235
male;group B;high school;standard;none;79;75;71;225
female;group D;master's degree;standard;none;69;73;75;217
male;group D;some college;standard;none;75;63;61;199
male;group D;some high school;free/reduced;none;54;54;52;160
female;group C;associate's degree;free/reduced;none;41;56;53;150
male;group B;associate's degree;standard;none;74;78;80;232
female;group B;associate's degree;free/reduced;completed;69;89;87;245
male;group D;some high school;standard;none;70;63;58;191
female;group A;some college;free/reduced;completed;50;65;57;172
female;group D;bachelor's degree;standard;none;62;75;73;210
female;group C;high school;standard;none;61;71;72;204
female;group E;some high school;free/reduced;completed;88;96;99;283
female;group E;associate's degree;free/reduced;completed;86;90;92;268
male;group B;associate's degree;free/reduced;none;51;50;43;144
female;group B;some high school;standard;none;48;52;53;153
female;group D;associate's degree;free/reduced;completed;67;78;84;229
female;group C;bachelor's degree;standard;none;62;71;70;203
male;group E;some high school;standard;completed;100;89;83;272
female;group A;high school;standard;completed;87;97;96;280
female;group C;associate's degree;free/reduced;completed;34;71;64;169
female;group D;bachelor's degree;standard;none;48;57;60;165
female;group C;high school;standard;none;53;77;70;200
female;group B;master's degree;standard;completed;74;89;85;248
male;group E;bachelor's degree;standard;none;89;76;73;238
male;group E;associate's degree;standard;completed;85;71;67;223
female;group D;some college;free/reduced;completed;71;89;88;248
female;group B;high school;standard;none;39;48;41;128
female;group A;associate's degree;standard;none;72;79;79;230
male;group A;associate's degree;free/reduced;none;66;61;57;184
female;group A;associate's degree;free/reduced;none;48;69;71;188
male;group C;master's degree;standard;none;63;58;52;173
female;group C;some high school;standard;none;66;75;69;210
female;group C;some high school;free/reduced;none;46;48;47;141
female;group C;some college;standard;none;52;53;53;158
male;group C;some college;free/reduced;completed;42;58;52;152
female;group D;some college;standard;completed;91;100;100;291
female;group C;associate's degree;free/reduced;none;78;84;83;245
female;group C;bachelor's degree;standard;none;55;65;59;179
female;group B;some college;standard;none;72;79;80;231
female;group E;some college;free/reduced;none;41;60;51;152
female;group D;high school;standard;completed;55;57;57;169
female;group D;some high school;standard;none;50;57;59;166
female;group C;some college;standard;completed;69;72;74;215
female;group B;bachelor's degree;standard;none;76;86;84;246
male;group C;some college;standard;none;79;73;69;221
female;group C;some high school;free/reduced;none;42;43;41;126
male;group B;some high school;free/reduced;completed;65;65;66;196
female;group E;some high school;free/reduced;none;55;57;58;170
male;group B;bachelor's degree;free/reduced;none;63;60;50;173
female;group C;associate's degree;free/reduced;completed;57;80;81;218
female;group C;some high school;standard;none;60;64;69;193
female;group C;some college;standard;completed;64;78;74;216
male;group B;associate's degree;standard;none;76;70;62;208
female;group D;some college;standard;none;83;91;83;257
male;group B;high school;free/reduced;completed;64;60;60;184
female;group E;some high school;standard;none;83;90;89;262
male;group D;high school;standard;completed;89;85;85;259
male;group B;some college;standard;none;84;75;72;231
female;group B;some high school;free/reduced;none;36;54;51;141
male;group C;some high school;standard;none;73;81;76;230
female;group C;some high school;standard;none;61;74;66;201
female;group C;bachelor's degree;standard;none;75;87;88;250
male;group E;high school;standard;completed;75;76;66;217
female;group A;some high school;standard;none;76;87;82;245
female;group B;some high school;standard;completed;78;88;91;257
female;group C;master's degree;free/reduced;completed;70;89;86;245
female;group B;master's degree;free/reduced;none;50;54;55;159
male;group C;high school;free/reduced;completed;51;48;42;141
female;group B;some college;free/reduced;none;62;72;70;204
female;group D;some college;free/reduced;none;82;84;80;246
female;group E;some college;standard;none;82;87;84;253
male;group D;high school;standard;none;69;56;56;181
female;group E;some high school;standard;none;73;72;78;223
male;group B;some college;standard;completed;61;68;68;197
male;group C;some college;standard;none;83;81;81;245
female;group B;master's degree;standard;completed;96;100;100;296
female;group D;associate's degree;free/reduced;none;51;58;57;166
male;group D;associate's degree;free/reduced;none;68;63;56;187
male;group E;some college;free/reduced;completed;59;61;61;181
male;group C;some college;free/reduced;none;34;44;40;118
female;group C;high school;free/reduced;none;53;71;69;193
female;group D;master's degree;standard;completed;73;75;86;234
male;group D;high school;free/reduced;none;64;60;59;183
female;group A;some high school;free/reduced;none;49;61;57;167
male;group C;high school;standard;none;57;61;54;172
female;group C;associate's degree;standard;none;62;63;72;197
male;group C;master's degree;free/reduced;none;53;61;54;168
female;group D;some college;standard;none;75;80;84;239
male;group D;bachelor's degree;standard;completed;71;75;70;216
male;group E;some college;standard;completed;80;69;69;218
female;group E;high school;standard;none;82;81;77;240
female;group A;bachelor's degree;standard;none;70;81;76;227
female;group E;associate's degree;standard;none;72;69;65;206
male;group C;high school;standard;none;59;65;60;184
female;group D;associate's degree;free/reduced;none;60;74;79;213
male;group E;bachelor's degree;free/reduced;completed;96;99;98;293
male;group B;some college;standard;completed;82;81;78;241
female;group E;some college;standard;none;74;78;74;226
female;group C;associate's degree;standard;none;83;82;78;243
male;group D;some college;free/reduced;completed;66;68;69;203
male;group B;some high school;standard;none;52;48;49;149
male;group D;some high school;standard;completed;74;70;70;214
male;group B;bachelor's degree;free/reduced;none;62;60;52;174
male;group B;master's degree;standard;none;92;83;81;256
male;group D;high school;standard;none;54;67;55;176
male;group B;some high school;free/reduced;completed;72;87;77;236
male;group D;bachelor's degree;standard;none;66;62;60;188
male;group E;some high school;standard;none;90;76;70;236
female;group E;some college;free/reduced;completed;82;85;93;260
female;group B;some high school;free/reduced;none;45;67;58;170
male;group C;bachelor's degree;free/reduced;none;83;84;77;244
male;group D;some college;free/reduced;none;53;55;54;162
female;group E;some high school;standard;none;71;78;73;222
male;group B;bachelor's degree;standard;completed;66;68;65;199
female;group D;associate's degree;standard;none;75;78;83;236
male;group D;some high school;standard;completed;92;90;87;269
female;group E;high school;standard;completed;67;69;70;206
female;group C;associate's degree;standard;completed;79;85;87;251
female;group C;high school;standard;completed;63;66;71;200
female;group E;high school;standard;completed;84;92;97;273
male;group E;high school;standard;completed;77;74;70;221
male;group C;high school;standard;none;62;64;58;184
male;group D;bachelor's degree;standard;none;80;69;68;217
female;group C;bachelor's degree;standard;none;60;71;69;200
male;group D;some college;standard;none;87;72;75;234
male;group C;associate's degree;standard;none;80;79;72;231
male;group C;some college;standard;completed;95;95;93;283
female;group E;associate's degree;standard;completed;74;81;88;243
male;group D;some college;free/reduced;none;65;52;53;170
male;group B;some high school;standard;none;80;67;65;212
male;group B;master's degree;standard;none;69;55;53;177
female;group B;high school;standard;none;83;86;82;251
female;group B;associate's degree;free/reduced;completed;62;72;78;212
male;group D;high school;free/reduced;completed;55;64;59;178
male;group D;high school;standard;completed;80;68;79;227
male;group E;some high school;standard;completed;75;71;65;211
female;group D;some college;standard;none;65;84;83;232
male;group C;associate's degree;standard;completed;87;87;85;259
female;group E;bachelor's degree;standard;completed;93;100;100;293
female;group B;some college;free/reduced;completed;68;80;81;229
female;group E;some college;free/reduced;none;62;65;67;194
male;group C;some high school;standard;completed;91;81;84;256
male;group B;associate's degree;free/reduced;completed;58;57;56;171
female;group C;associate's degree;standard;none;93;100;98;291
male;group D;some college;standard;completed;79;66;65;210
female;group C;master's degree;standard;none;48;58;57;163
female;group E;high school;free/reduced;none;62;64;65;191
female;group A;associate's degree;standard;none;67;74;71;212
female;group C;some college;free/reduced;none;41;54;53;148
male;group B;some college;standard;none;77;78;72;227
male;group B;associate's degree;standard;none;90;87;86;263
female;group C;some high school;standard;none;62;68;69;199
female;group B;high school;standard;none;51;59;57;167
male;group C;master's degree;free/reduced;none;51;48;47;146
female;group C;some college;free/reduced;completed;80;88;87;255
male;group E;associate's degree;free/reduced;completed;79;76;82;237
female;group D;associate's degree;free/reduced;completed;40;48;52;140
female;group D;high school;standard;none;78;77;80;235
female;group D;some high school;standard;none;69;83;85;237
female;group D;high school;standard;none;73;85;82;240
male;group B;some high school;standard;completed;55;58;61;174
male;group A;some college;standard;none;77;68;68;213
male;group C;some high school;free/reduced;none;47;46;41;134
male;group C;associate's degree;free/reduced;none;58;52;54;164
male;group C;high school;standard;none;90;73;70;233
female;group D;master's degree;standard;none;56;67;70;193
female;group C;bachelor's degree;standard;none;61;68;69;198
male;group C;associate's degree;standard;none;69;58;58;185
female;group A;high school;free/reduced;none;64;70;64;198
male;group B;master's degree;free/reduced;completed;77;80;81;238
female;group C;bachelor's degree;standard;none;87;82;89;258
male;group B;some high school;standard;completed;74;64;68;206
male;group B;high school;standard;completed;70;68;69;207
male;group C;high school;standard;none;79;75;75;229
male;group D;high school;standard;completed;90;75;84;249
male;group D;some college;standard;none;81;69;72;222
male;group D;high school;standard;completed;47;42;40;129
female;group D;high school;free/reduced;none;46;57;59;162
female;group B;high school;standard;completed;60;64;71;195
male;group D;master's degree;standard;none;90;81;86;257
male;group C;associate's degree;standard;none;68;52;56;176
female;group B;associate's degree;standard;none;78;96;92;266
female;group B;associate's degree;standard;none;74;91;86;251
female;group B;associate's degree;standard;none;61;75;73;209
female;group C;some high school;standard;none;45;53;51;149
female;group C;associate's degree;standard;completed;74;81;84;239
female;group A;associate's degree;standard;completed;89;97;100;286
female;group D;some high school;free/reduced;completed;58;77;77;212
male;group C;bachelor's degree;standard;completed;89;88;81;258
male;group C;high school;standard;none;69;80;76;225
female;group B;high school;free/reduced;none;31;47;42;120
male;group C;some high school;free/reduced;none;53;57;43;153
male;group C;some high school;standard;none;67;69;65;201
male;group E;some high school;standard;none;62;54;48;164
male;group C;bachelor's degree;standard;none;69;71;72;212
female;group B;high school;standard;none;56;61;63;180
male;group E;some high school;standard;completed;84;75;72;231
male;group B;associate's degree;free/reduced;none;48;42;41;131
female;group D;some high school;free/reduced;none;54;66;71;191
male;group B;some college;free/reduced;completed;48;49;50;147
female;group B;some college;standard;none;85;96;91;272
female;group D;high school;standard;none;66;65;71;202
male;group C;some high school;standard;none;51;51;44;146
female;group B;some college;standard;completed;69;69;75;213
male;group D;high school;free/reduced;none;50;42;41;133
female;group C;high school;standard;none;55;60;65;180
male;group B;associate's degree;free/reduced;completed;68;67;70;205
female;group B;associate's degree;standard;completed;74;80;80;234
male;group E;some college;free/reduced;none;48;43;45;136
male;group D;associate's degree;standard;none;73;63;66;202
female;group A;associate's degree;free/reduced;none;36;44;51;131
female;group B;some college;standard;none;87;83;88;258
female;group B;some college;free/reduced;none;76;81;80;237
male;group E;some college;standard;none;82;71;68;221
female;group B;high school;standard;none;57;68;57;182
female;group C;bachelor's degree;free/reduced;completed;43;65;64;172
female;group C;some college;standard;none;49;57;58;164
female;group C;high school;standard;none;52;59;55;166
female;group D;bachelor's degree;standard;none;70;73;76;219
male;group C;master's degree;standard;none;55;46;40;141
female;group C;high school;free/reduced;none;38;42;44;124
female;group C;some high school;free/reduced;none;50;74;68;192
male;group B;some college;standard;none;52;53;52;157
male;group C;some college;free/reduced;none;55;65;54;174
female;group C;some college;standard;completed;77;89;88;254
female;group C;high school;standard;completed;72;77;75;224
male;group B;associate's degree;free/reduced;completed;65;67;61;193
female;group A;associate's degree;free/reduced;completed;52;70;66;188
male;group D;master's degree;standard;none;89;89;86;264
male;group E;high school;standard;none;65;48;46;159
female;group A;some college;free/reduced;none;55;59;58;172
male;group D;some college;free/reduced;none;58;66;67;191
male;group E;high school;standard;none;84;83;77;244
female;group B;associate's degree;standard;none;65;70;68;203
female;group C;bachelor's degree;standard;none;51;46;50;147
male;group D;some high school;standard;none;32;31;26;89
male;group A;master's degree;standard;none;70;66;65;201
male;group C;some high school;free/reduced;completed;54;54;54;162
male;group E;some high school;standard;none;85;72;72;229
male;group C;high school;standard;none;52;53;49;154
male;group D;associate's degree;standard;none;77;65;63;205
female;group C;high school;standard;none;44;43;49;136
female;group B;high school;free/reduced;none;49;56;57;162
female;group D;associate's degree;standard;completed;88;94;97;279
male;group D;some college;free/reduced;none;46;48;46;140
female;group D;some college;free/reduced;none;59;65;73;197
female;group D;some high school;free/reduced;completed;46;74;74;194
female;group C;associate's degree;standard;none;61;70;68;199
male;group D;high school;free/reduced;none;77;74;74;225
male;group B;some college;standard;none;86;88;82;256
female;group D;associate's degree;standard;completed;61;66;74;201
female;group D;master's degree;standard;completed;98;98;100;296
male;group B;bachelor's degree;standard;completed;76;75;76;227
female;group E;high school;standard;completed;91;96;95;282
female;group B;bachelor's degree;standard;none;82;87;87;256
female;group B;some college;standard;completed;93;100;100;293
male;group D;some college;standard;completed;70;62;69;201
male;group A;some high school;free/reduced;none;57;59;60;176
female;group D;some high school;standard;completed;67;86;84;237
male;group C;associate's degree;free/reduced;none;47;43;42;132
female;group B;high school;standard;none;78;89;84;251
male;group E;associate's degree;standard;none;65;59;51;175
male;group C;some high school;standard;completed;74;77;69;220
male;group D;associate's degree;standard;none;86;85;81;252
male;group D;bachelor's degree;free/reduced;completed;84;92;84;260
female;group D;some high school;free/reduced;none;54;61;61;176
female;group B;bachelor's degree;standard;completed;87;100;100;287
female;group D;some college;standard;none;64;80;76;220
female;group E;master's degree;free/reduced;none;71;80;78;229
female;group A;some high school;standard;none;49;54;56;159
male;group D;bachelor's degree;standard;completed;86;82;81;249
male;group B;some high school;standard;none;80;79;78;237
female;group B;bachelor's degree;standard;none;72;77;75;224
male;group E;high school;free/reduced;none;68;59;59;186
female;group C;associate's degree;standard;completed;62;70;78;210
male;group D;bachelor's degree;free/reduced;completed;94;92;91;277
male;group D;associate's degree;standard;completed;71;60;63;194
male;group C;some college;standard;none;87;77;78;242
male;group B;some college;free/reduced;none;46;34;34;114
male;group D;high school;standard;none;46;48;46;140
female;group B;some high school;standard;none;55;62;65;182
female;group B;some high school;free/reduced;none;58;72;70;200
female;group B;master's degree;free/reduced;none;75;84;85;244
female;group E;some high school;standard;completed;77;83;86;246
male;group C;high school;standard;none;52;52;54;158
female;group B;some college;standard;none;67;75;68;210
female;group D;master's degree;free/reduced;none;82;80;81;243
female;group B;some high school;free/reduced;completed;51;69;70;190
male;group C;some high school;standard;none;85;91;80;256
female;group E;high school;standard;none;93;84;88;265
female;group C;some college;standard;completed;70;78;85;233
male;group E;bachelor's degree;free/reduced;none;64;51;53;168
female;group E;associate's degree;free/reduced;none;66;75;72;213
female;group D;some college;free/reduced;none;42;42;49;133
female;group A;associate's degree;free/reduced;none;39;54;54;147
male;group A;high school;free/reduced;completed;71;82;73;226
female;group A;some high school;standard;none;66;68;72;206
female;group B;associate's degree;standard;none;85;90;93;268
female;group B;some high school;standard;completed;59;72;72;203
female;group D;master's degree;standard;none;78;77;87;242
female;group E;high school;free/reduced;none;79;88;79;246
female;group D;associate's degree;free/reduced;none;63;77;76;216
male;group D;some high school;standard;completed;78;73;66;217
male;group B;associate's degree;free/reduced;none;49;53;49;151
female;group B;some high school;standard;none;64;74;70;208
female;group A;some college;standard;completed;92;95;95;282
female;group E;master's degree;standard;completed;93;100;100;293
female;group D;associate's degree;standard;none;57;62;58;177
male;group B;associate's degree;standard;completed;76;65;67;208
male;group E;associate's degree;standard;completed;77;60;69;206
female;group B;some college;free/reduced;none;43;47;53;143
male;group E;some high school;standard;none;95;88;85;268
female;group B;associate's degree;free/reduced;none;47;51;44;142
female;group A;some high school;free/reduced;none;43;64;62;169
female;group C;high school;standard;completed;64;63;70;197
female;group D;some college;standard;none;53;70;68;191
male;group D;associate's degree;standard;none;56;47;47;150
male;group C;high school;standard;none;54;60;49;163
male;group C;associate's degree;standard;completed;90;96;89;275
female;group E;some college;standard;none;55;52;54;161
female;group C;some high school;standard;none;81;80;82;243
male;group C;high school;standard;completed;60;66;64;190
female;group C;some college;standard;none;63;81;81;225
female;group E;some high school;free/reduced;completed;66;78;74;218
female;group B;some college;standard;none;47;58;59;164
male;group C;some college;free/reduced;none;59;60;60;179
female;group C;some college;standard;completed;62;75;72;209
