gender;race/ethnicity;parental level of education;lunch;test preparation course;math score;reading score;writing score;output
female;group D;high school;free/reduced;completed;32;43;46;121
female;group E;associate's degree;standard;none;95;92;90;277
male;group A;some college;standard;completed;76;73;74;223
male;group C;master's degree;standard;none;100;90;91;281
male;group C;some high school;standard;none;69;53;52;174
male;group B;some college;standard;none;53;58;56;167
female;group C;some high school;free/reduced;none;45;68;58;171
female;group C;bachelor's degree;standard;none;80;81;77;238
female;group E;some college;standard;none;76;70;71;217
female;group D;associate's degree;free/reduced;completed;67;84;89;240
female;group A;high school;standard;completed;79;88;89;256
female;group A;high school;standard;completed;53;64;72;189
female;group E;associate's degree;standard;completed;98;100;100;298
female;group B;some high school;free/reduced;none;37;50;48;135
male;group C;some college;free/reduced;none;44;55;49;148
male;group D;associate's degree;standard;none;74;70;57;201
male;group D;high school;standard;none;61;54;49;164
male;group B;some college;standard;none;75;69;69;213
female;group C;high school;standard;completed;59;78;80;217
male;group C;associate's degree;free/reduced;none;65;69;62;196
female;group C;some high school;standard;completed;59;64;62;185
male;group B;associate's degree;standard;none;78;70;72;220
male;group C;some college;standard;none;77;71;64;212
male;group B;bachelor's degree;standard;completed;65;71;61;197
male;group B;some college;free/reduced;completed;62;58;61;181
female;group C;high school;standard;none;43;51;54;148
female;group E;associate's degree;free/reduced;none;65;77;75;217
male;group D;some college;standard;none;79;78;74;231
male;group D;some high school;free/reduced;none;57;62;56;175
male;group C;associate's degree;standard;none;76;67;60;203
male;group D;some high school;free/reduced;completed;59;48;49;156
female;group C;some college;free/reduced;none;48;70;63;181
female;group A;associate's degree;standard;completed;51;61;68;180
female;group C;some college;standard;completed;50;76;73;199
male;group E;associate's degree;standard;none;89;83;77;249
male;group C;some high school;free/reduced;none;37;43;39;119
female;group B;associate's degree;standard;none;81;87;90;258
male;group E;some college;standard;none;96;81;76;253
male;group C;bachelor's degree;free/reduced;none;59;74;64;197
female;group D;some college;standard;completed;75;82;86;243
male;group D;some college;standard;none;53;45;46;144
female;group C;high school;standard;none;72;77;70;219
male;group E;high school;standard;none;63;54;52;169
male;group A;associate's degree;standard;none;64;65;65;194
female;group E;associate's degree;free/reduced;none;82;91;84;257
female;group D;high school;standard;none;66;78;81;225
female;group B;high school;standard;none;79;79;71;229
female;group B;high school;standard;none;70;71;70;211
male;group E;associate's degree;free/reduced;none;85;84;74;243
female;group C;some college;free/reduced;none;53;61;63;177
female;group C;bachelor's degree;standard;completed;75;94;89;258
female;group D;associate's degree;free/reduced;none;81;85;88;254
female;group E;some college;free/reduced;none;59;55;55;169
female;group C;some college;standard;none;60;73;68;201
male;group B;some high school;standard;none;56;53;51;160
male;group B;some college;free/reduced;none;66;69;65;200
female;group E;some college;standard;none;67;79;71;217
male;group B;bachelor's degree;standard;completed;79;65;69;213
male;group C;associate's degree;free/reduced;none;29;30;25;84
female;group E;associate's degree;standard;none;87;94;91;272
male;group B;bachelor's degree;standard;completed;71;63;75;209
female;group C;some high school;standard;completed;84;96;100;280
female;group C;some college;standard;completed;60;71;71;202
male;group D;high school;standard;completed;58;58;54;170
female;group D;some high school;standard;none;51;56;61;168
male;group C;some high school;standard;none;66;63;53;182
male;group C;associate's degree;standard;none;81;83;76;240
female;group C;high school;standard;none;62;74;71;207
female;group C;some high school;standard;completed;86;100;97;283
female;group B;some college;free/reduced;none;76;76;78;230
female;group B;some college;standard;none;92;95;88;275
female;group C;high school;standard;none;71;74;68;213
male;group A;associate's degree;free/reduced;completed;61;74;71;206
female;group D;some college;free/reduced;none;45;56;56;157
female;group A;master's degree;standard;none;76;74;77;227
female;group D;high school;free/reduced;none;69;77;83;229
male;group E;high school;standard;none;69;61;54;184
female;group D;master's degree;standard;completed;83;96;100;279
female;group C;bachelor's degree;standard;completed;78;82;85;245
male;group B;high school;standard;completed;75;70;69;214
male;group C;high school;standard;completed;85;91;87;263
female;group C;high school;standard;none;43;58;54;155
female;group C;some high school;free/reduced;completed;61;66;66;193
male;group A;some college;standard;none;61;72;64;197
male;group C;some high school;standard;completed;90;88;84;262
female;group D;high school;standard;none;24;37;34;95
female;group C;high school;standard;completed;62;78;75;215
female;group C;high school;standard;none;65;72;69;206
female;group C;some college;standard;none;58;71;64;193
male;group D;master's degree;standard;completed;100;100;98;298
female;group C;some high school;standard;completed;79;86;90;255
male;group D;bachelor's degree;standard;none;80;75;78;233
male;group D;bachelor's degree;free/reduced;completed;67;67;74;208
female;group E;high school;standard;none;65;65;59;189
male;group C;associate's degree;standard;none;58;51;56;165
male;group E;some high school;free/reduced;none;47;47;37;131
female;group D;some high school;standard;none;66;79;77;222
female;group C;associate's degree;standard;completed;84;95;96;275
male;group D;some college;standard;completed;80;76;81;237
male;group B;some high school;standard;none;70;62;55;187
female;group D;some college;standard;none;63;73;68;204
male;group C;associate's degree;standard;completed;69;77;73;219
female;group C;associate's degree;standard;none;75;74;69;218
male;group E;high school;free/reduced;completed;71;59;58;188
male;group C;some college;standard;none;72;68;64;204
female;group D;some college;free/reduced;none;60;74;69;203
male;group B;some college;standard;none;66;52;54;172
female;group A;bachelor's degree;standard;none;74;83;83;240
male;group D;some high school;standard;completed;92;78;84;254
female;group B;some high school;standard;none;65;62;61;188
female;group D;some high school;standard;none;57;53;53;163
female;group C;some college;standard;none;42;66;63;171
female;group C;associate's degree;standard;none;66;76;75;217
female;group D;high school;standard;none;69;81;83;233
male;group C;associate's degree;standard;none;76;68;63;207
male;group A;some college;standard;completed;62;57;64;183
female;group C;bachelor's degree;standard;none;90;100;100;290
female;group D;bachelor's degree;standard;completed;79;89;97;265
female;group A;bachelor's degree;standard;completed;63;67;76;206
male;group A;associate's degree;free/reduced;none;52;52;54;158
female;group A;associate's degree;standard;completed;68;81;83;232
female;group A;associate's degree;free/reduced;completed;42;67;63;172
male;group D;some high school;standard;none;69;65;62;196
male;group C;some college;free/reduced;none;63;58;63;184
female;group C;some college;free/reduced;none;41;55;56;152
male;group D;some college;standard;completed;68;64;66;198
male;group C;associate's degree;free/reduced;none;66;69;64;199
female;group A;associate's degree;free/reduced;none;57;80;75;212
female;group E;associate's degree;standard;none;68;75;79;222
male;group C;some high school;free/reduced;none;53;62;52;167
male;group D;some college;standard;completed;83;78;84;245
female;group D;some college;standard;none;53;66;67;186
male;group D;master's degree;standard;none;62;66;57;185
female;group C;some high school;standard;none;69;76;72;217
female;group B;associate's degree;standard;none;53;61;59;173
male;group B;associate's degree;standard;none;80;60;67;207
female;group B;some high school;standard;completed;87;97;95;279
male;group D;some college;standard;none;79;78;76;233
male;group C;high school;standard;completed;67;70;65;202
female;group D;some college;free/reduced;none;63;64;70;197
male;group B;some college;standard;none;48;51;49;148
female;group C;bachelor's degree;standard;none;62;69;70;201
female;group E;some high school;standard;none;52;66;58;176
male;group C;high school;standard;none;43;31;30;104
male;group B;high school;standard;none;76;72;68;216
male;group C;some college;standard;completed;82;87;84;253
female;group E;some college;free/reduced;none;77;97;87;261
male;group E;bachelor's degree;free/reduced;completed;91;78;84;253
female;group E;associate's degree;free/reduced;none;73;76;74;223
female;group C;bachelor's degree;standard;none;67;69;67;203
female;group B;high school;free/reduced;completed;61;81;82;224
male;group C;some high school;standard;completed;78;87;83;248
female;group C;bachelor's degree;standard;completed;56;71;69;196
female;group B;bachelor's degree;standard;completed;71;85;83;239
female;group C;high school;standard;completed;70;77;83;230
female;group D;some high school;standard;completed;49;63;64;176
female;group B;some high school;standard;completed;81;96;98;275
female;group B;some college;standard;none;75;65;70;210
female;group E;some college;free/reduced;completed;73;86;86;245
male;group C;some college;standard;completed;64;61;61;186
female;group B;associate's degree;free/reduced;none;45;61;59;165
female;group B;some high school;free/reduced;none;55;67;58;180
male;group C;high school;standard;none;50;42;41;133
female;group B;bachelor's degree;free/reduced;completed;59;77;79;215
female;group A;some high school;standard;none;75;80;80;235
male;group B;associate's degree;standard;completed;50;46;43;139
female;group C;high school;standard;none;51;57;61;169
female;group C;some high school;free/reduced;none;50;57;50;157
male;group D;high school;free/reduced;completed;61;53;54;168
male;group E;some high school;standard;none;79;66;70;215
female;group A;some high school;standard;none;63;75;77;215
female;group C;some high school;standard;completed;62;64;70;196
female;group A;some high school;standard;none;48;47;49;144
male;group D;master's degree;free/reduced;none;59;66;62;187
female;group D;associate's degree;free/reduced;none;63;80;76;219
female;group D;some high school;standard;none;76;73;79;228
female;group D;master's degree;standard;completed;82;87;90;259
female;group B;high school;standard;none;55;65;69;189
male;group C;high school;standard;completed;76;83;72;231
male;group D;master's degree;standard;none;62;54;53;169
female;group C;master's degree;free/reduced;none;55;73;67;195
male;group C;some high school;free/reduced;completed;53;59;50;162
female;group D;some high school;standard;none;67;76;72;215
male;group C;some college;standard;none;78;70;66;214
male;group B;some college;standard;none;63;64;61;188
male;group B;high school;free/reduced;none;67;62;64;193
male;group C;some high school;standard;none;81;74;68;223
male;group C;associate's degree;free/reduced;none;69;61;60;190
female;group A;master's degree;standard;none;83;83;81;247
male;group C;bachelor's degree;standard;completed;88;91;92;271
male;group C;high school;standard;completed;73;71;71;215
male;group C;some high school;standard;completed;52;53;49;154
male;group C;bachelor's degree;standard;none;64;63;62;189
female;group C;associate's degree;standard;completed;60;76;81;217
female;group C;associate's degree;free/reduced;completed;60;80;82;222
male;group D;high school;standard;none;65;60;67;192
male;group A;associate's degree;free/reduced;none;50;56;46;152
male;group C;high school;standard;none;91;88;83;262
male;group D;high school;standard;none;60;67;58;185
female;group C;some college;standard;none;45;59;61;165
female;group C;associate's degree;standard;completed;89;91;95;275
male;group B;associate's degree;standard;none;84;74;72;230
female;group D;associate's degree;standard;none;79;81;84;244
male;group E;some high school;free/reduced;none;49;49;35;133
male;group D;associate's degree;standard;completed;70;76;75;221
female;group E;some high school;standard;none;54;48;44;146
female;group D;some college;free/reduced;none;65;60;64;189
female;group B;some high school;standard;completed;66;74;78;218
female;group A;high school;standard;none;68;81;81;230
male;group C;some college;standard;none;52;38;38;128
male;group D;associate's degree;standard;completed;63;55;58;176
female;group C;associate's degree;standard;none;80;75;75;230
female;group D;some college;standard;completed;76;89;94;259
male;group E;some college;free/reduced;none;69;52;53;174
male;group D;some college;standard;completed;80;70;69;219
female;group D;associate's degree;standard;none;77;87;87;251
male;group D;associate's degree;standard;completed;64;63;65;192
male;group D;associate's degree;free/reduced;none;45;37;36;118
female;group E;some college;free/reduced;none;76;77;75;228
female;group D;high school;standard;none;81;83;85;249
male;group D;associate's degree;free/reduced;completed;46;47;44;137
female;group C;some college;standard;none;76;78;69;223
male;group C;associate's degree;free/reduced;none;34;31;31;96
female;group B;some high school;free/reduced;none;29;40;36;105
male;group A;some college;free/reduced;none;62;56;55;173
male;group A;high school;standard;completed;78;70;65;213
female;group B;some high school;free/reduced;completed;60;73;70;203
female;group C;master's degree;standard;completed;82;100;100;282
female;group C;bachelor's degree;standard;none;53;66;68;187
female;group D;bachelor's degree;standard;none;76;90;84;250
male;group A;associate's degree;free/reduced;none;69;72;62;203
female;group B;master's degree;standard;completed;69;80;86;235
male;group E;some high school;free/reduced;completed;49;58;55;162
male;group D;associate's degree;standard;none;93;84;78;255
male;group D;high school;free/reduced;completed;67;66;63;196
male;group D;associate's degree;free/reduced;none;69;61;58;188
male;group B;some high school;standard;completed;95;86;83;264
male;group B;master's degree;standard;none;76;79;75;230
female;group C;associate's degree;standard;none;72;70;76;218
female;group B;some high school;standard;none;83;86;84;253
male;group A;high school;standard;none;64;51;52;167
female;group C;some college;standard;none;84;93;84;261
female;group B;high school;standard;completed;79;89;86;254
female;group C;high school;free/reduced;none;59;73;68;200
male;group C;some college;standard;completed;96;95;92;283
female;group C;some high school;free/reduced;none;48;53;51;152
male;group D;some college;free/reduced;none;53;53;45;151
male;group D;associate's degree;standard;none;71;75;76;222
female;group E;bachelor's degree;standard;completed;95;86;85;266
female;group C;bachelor's degree;free/reduced;none;48;42;48;138
female;group C;some college;standard;none;68;75;74;217
male;group C;some college;free/reduced;completed;54;58;50;162
female;group D;associate's degree;standard;none;80;90;96;266
female;group C;bachelor's degree;standard;none;68;74;74;216
male;group D;some college;standard;none;84;72;78;234
female;group B;some college;standard;none;42;58;50;150
female;group C;bachelor's degree;free/reduced;none;58;68;65;191
female;group D;some high school;standard;completed;40;52;56;148
male;group C;some high school;free/reduced;none;53;46;40;139
female;group E;some college;free/reduced;completed;77;74;81;232
male;group D;some high school;standard;none;74;70;71;215
male;group C;associate's degree;standard;none;57;57;53;167
male;group C;some college;free/reduced;completed;50;48;50;148
female;group C;some high school;standard;none;59;63;64;186
male;group B;some high school;free/reduced;none;47;41;40;128
female;group B;some high school;standard;none;81;90;91;262
female;group A;high school;standard;none;67;81;70;218
female;group D;high school;standard;none;79;85;81;245
female;group D;some college;free/reduced;none;60;72;71;203
male;group D;associate's degree;standard;none;63;55;54;172
female;group E;associate's degree;standard;none;79;96;96;271
male;group D;some high school;free/reduced;completed;82;88;87;257
male;group E;associate's degree;standard;none;71;64;56;191
male;group D;high school;standard;none;64;66;64;194
male;group D;some college;standard;completed;91;89;94;274
female;group D;high school;free/reduced;none;41;52;54;147
male;group C;bachelor's degree;standard;none;85;79;82;246
male;group C;high school;standard;none;57;52;46;155
male;group B;some high school;free/reduced;none;39;37;33;109
male;group B;master's degree;standard;completed;62;66;66;194
female;group C;high school;standard;completed;63;76;68;207
female;group C;bachelor's degree;free/reduced;none;71;76;70;217
female;group C;some college;standard;completed;70;74;83;227
male;group E;high school;free/reduced;none;54;47;52;153
male;group C;bachelor's degree;standard;none;86;79;80;245
male;group D;high school;standard;none;78;60;68;206
female;group C;associate's degree;standard;completed;66;76;78;220
female;group C;some college;free/reduced;none;59;63;64;186
female;group C;associate's degree;free/reduced;none;38;40;40;118
female;group D;some high school;standard;none;51;50;54;155
male;group A;high school;standard;none;64;72;61;197
female;group D;associate's degree;free/reduced;completed;64;77;78;219
male;group D;bachelor's degree;standard;completed;77;59;62;198
female;group E;some college;standard;none;53;62;60;175
female;group C;associate's degree;free/reduced;none;70;79;83;232
male;group E;some high school;standard;completed;88;69;73;230
female;group D;some college;free/reduced;none;47;52;62;161
male;group C;some college;free/reduced;none;59;57;44;160
female;group E;high school;standard;none;86;84;82;252
female;group C;some college;standard;none;91;88;90;269
female;group A;some college;standard;none;65;74;77;216
male;group C;high school;standard;none;67;69;63;199
male;group D;some high school;standard;none;80;70;66;216
female;group E;bachelor's degree;free/reduced;none;72;74;74;220
male;group E;associate's degree;standard;none;83;75;68;226
male;group C;some college;standard;none;53;55;48;156
female;group B;associate's degree;standard;none;55;63;58;176
male;group B;some high school;standard;none;84;89;81;254
male;group C;some college;standard;none;51;48;50;149
male;group E;some college;free/reduced;completed;64;66;63;193
male;group C;some high school;standard;none;66;61;57;184
male;group B;high school;standard;none;75;73;69;217
male;group B;high school;free/reduced;completed;64;65;61;190
female;group C;bachelor's degree;standard;completed;70;75;82;227
female;group C;some high school;standard;none;49;55;53;157
female;group C;some college;standard;none;50;60;56;166
male;group C;some high school;free/reduced;none;12;13;3;28
male;group C;associate's degree;standard;completed;98;96;92;286
male;group C;some high school;standard;completed;56;52;55;163
male;group D;associate's degree;free/reduced;completed;48;58;61;167
male;group C;some high school;free/reduced;completed;46;42;44;132
female;group D;some college;standard;none;47;55;52;154
male;group B;some high school;standard;none;47;48;41;136
male;group E;some high school;free/reduced;completed;81;75;76;232
male;group C;associate's degree;standard;none;70;64;59;193
male;group D;associate's degree;standard;none;67;67;58;192
male;group C;high school;free/reduced;completed;48;55;55;158
male;group A;associate's degree;standard;completed;88;88;86;262
female;group A;some college;standard;none;56;72;72;200
male;group E;associate's degree;standard;none;100;90;93;283
male;group E;high school;free/reduced;none;63;55;49;167
female;group C;some college;standard;completed;94;99;99;292
female;group C;some high school;standard;none;66;71;62;199
male;group D;some high school;free/reduced;completed;48;37;37;122
male;group A;some high school;standard;none;50;47;45;142
female;group B;some college;standard;completed;84;89;92;265
male;group D;some college;standard;none;86;78;70;234
male;group D;high school;standard;none;75;70;71;216
female;group C;high school;free/reduced;none;66;78;73;217
male;group D;some college;free/reduced;none;59;63;59;181
female;group A;high school;standard;completed;50;55;59;164
male;group E;master's degree;free/reduced;none;63;51;48;162
male;group C;some high school;free/reduced;none;69;61;58;188
male;group D;some high school;standard;none;49;49;45;143
female;group C;some high school;standard;none;79;98;88;265
male;group E;some high school;standard;completed;78;77;79;234
female;group B;some college;free/reduced;completed;60;74;72;206
male;group B;high school;free/reduced;completed;70;65;71;206
male;group E;high school;free/reduced;none;69;61;55;185
female;group C;bachelor's degree;free/reduced;completed;76;96;94;266
male;group D;bachelor's degree;free/reduced;none;65;63;58;186
female;group D;some high school;standard;none;60;68;60;188
male;group E;bachelor's degree;standard;completed;85;70;68;223
female;group E;some college;standard;completed;84;83;84;251
male;group C;some college;standard;completed;82;79;79;240
female;group A;some high school;standard;none;52;74;70;196
female;group C;bachelor's degree;standard;completed;66;78;83;227
female;group E;master's degree;free/reduced;none;42;39;46;127
female;group D;high school;standard;none;90;88;94;272
male;group C;some college;free/reduced;none;44;49;38;131
male;group D;associate's degree;standard;completed;94;87;89;270
male;group E;associate's degree;free/reduced;completed;81;82;73;236
male;group B;associate's degree;standard;none;68;62;62;192
female;group A;master's degree;standard;none;71;82;80;233
male;group D;some high school;standard;completed;74;82;80;236
male;group B;some high school;standard;none;66;60;58;184
male;group C;associate's degree;standard;none;53;54;47;154
female;group D;associate's degree;standard;none;61;68;69;198
male;group B;some college;standard;none;61;45;45;151
female;group B;master's degree;standard;completed;86;85;92;263
female;group A;associate's degree;standard;completed;75;86;85;246
female;group A;high school;standard;none;80;80;79;239
female;group A;some college;standard;none;57;66;66;189
female;group C;master's degree;free/reduced;completed;77;100;100;277
male;group B;some college;standard;none;47;42;34;123
male;group D;associate's degree;standard;completed;74;62;63;199
female;group B;some college;free/reduced;none;46;61;60;167
male;group A;some high school;free/reduced;none;53;40;39;132
female;group C;associate's degree;standard;none;73;82;75;230
male;group D;bachelor's degree;free/reduced;completed;61;62;59;182
female;group D;some college;free/reduced;none;83;85;86;254
male;group E;bachelor's degree;free/reduced;none;69;67;59;195
female;group D;some high school;standard;none;81;86;87;254
male;group C;some college;free/reduced;none;73;69;77;219
male;group D;bachelor's degree;free/reduced;none;52;50;51;153
male;group D;master's degree;standard;none;91;94;94;279
male;group B;associate's degree;standard;completed;85;75;76;236
male;group C;bachelor's degree;standard;completed;70;65;66;201
female;group C;high school;free/reduced;none;40;60;46;146
male;group B;some high school;standard;none;77;59;56;192
male;group C;some college;standard;none;40;45;38;123
female;group C;some high school;free/reduced;none;49;64;60;173
female;group A;bachelor's degree;standard;none;50;61;62;173
male;group D;some high school;free/reduced;none;75;79;74;228
female;group B;associate's degree;standard;none;70;77;77;224
female;group C;associate's degree;standard;none;76;88;90;254
female;group B;some college;standard;none;29;27;30;86
female;group C;bachelor's degree;standard;completed;56;73;72;201
male;group D;associate's degree;free/reduced;none;91;78;83;252
female;group E;some college;standard;none;54;56;64;174
male;group E;master's degree;standard;completed;96;86;82;264
female;group D;associate's degree;standard;none;78;86;87;251
male;group B;associate's degree;standard;none;65;58;49;172
male;group E;master's degree;standard;completed;91;86;88;265
male;group C;associate's degree;standard;completed;75;71;65;211
male;group D;some high school;free/reduced;none;69;77;61;207
female;group B;some college;free/reduced;completed;79;79;82;240
male;group B;some college;standard;none;60;59;55;174
female;group C;some high school;standard;none;54;64;63;181
female;group A;high school;standard;none;77;81;81;239
male;group B;high school;standard;none;62;61;62;185
male;group E;some college;standard;completed;73;70;66;209
female;group B;associate's degree;free/reduced;completed;43;69;66;178
female;group C;master's degree;standard;none;75;73;76;224
male;group D;associate's degree;standard;completed;61;56;59;176
male;group D;bachelor's degree;standard;none;69;62;58;189
female;group B;some high school;standard;completed;79;87;95;261
male;group C;some college;free/reduced;completed;77;80;77;234
male;group D;high school;standard;none;81;69;68;218
female;group B;high school;free/reduced;completed;60;73;71;204
female;group C;associate's degree;free/reduced;none;62;73;72;207
female;group C;some college;standard;completed;54;69;65;188
female;group D;associate's degree;standard;completed;68;71;79;218
female;group D;associate's degree;free/reduced;none;69;75;83;227
female;group B;associate's degree;standard;completed;85;92;89;266
male;group D;some high school;standard;none;55;54;52;161
female;group B;associate's degree;free/reduced;none;62;75;74;211
female;group B;high school;standard;none;57;65;63;185
female;group C;bachelor's degree;standard;none;72;72;74;218
male;group E;high school;free/reduced;completed;71;72;69;212
male;group C;some college;free/reduced;none;57;52;44;153
female;group C;bachelor's degree;standard;none;68;76;79;223
female;group C;high school;standard;none;36;57;49;142
female;group E;some high school;free/reduced;none;58;68;61;187
female;group C;some high school;free/reduced;completed;72;84;84;240
male;group B;some college;standard;none;82;75;73;230
female;group D;some high school;standard;none;72;71;78;221
female;group E;some high school;standard;completed;88;93;90;271
male;group D;bachelor's degree;free/reduced;completed;84;85;80;249
female;group C;master's degree;free/reduced;completed;56;78;76;210
male;group C;associate's degree;standard;none;71;69;63;203
female;group C;some college;standard;completed;62;72;68;202
male;group D;associate's degree;free/reduced;none;68;62;62;192
male;group D;bachelor's degree;standard;none;86;84;80;250
male;group A;some high school;free/reduced;none;67;64;63;194
female;group C;high school;standard;none;74;68;65;207
female;group D;some college;standard;none;55;66;68;189
female;group B;bachelor's degree;standard;none;71;81;82;234
male;group D;master's degree;standard;none;93;79;76;248
female;group D;high school;standard;completed;59;67;71;197
female;group E;associate's degree;standard;none;53;65;65;183
female;group B;high school;standard;none;70;78;75;223
male;group B;high school;free/reduced;none;73;75;68;216
male;group C;associate's degree;standard;none;86;87;84;257
female;group C;some college;standard;none;59;68;63;190
male;group C;high school;standard;none;68;64;61;193
male;group D;high school;standard;none;72;72;72;216
male;group C;bachelor's degree;standard;none;74;68;67;209
male;group B;some college;free/reduced;completed;60;57;57;174
female;group D;high school;free/reduced;none;50;70;68;188
female;group E;some high school;standard;none;77;81;79;237
male;group D;associate's degree;standard;none;43;37;36;116
female;group C;associate's degree;free/reduced;none;27;30;39;96
female;group B;some college;standard;none;66;72;68;206
female;group E;master's degree;standard;none;90;98;92;280
male;group D;high school;free/reduced;none;59;43;38;140
male;group C;bachelor's degree;free/reduced;completed;58;50;52;160
male;group D;bachelor's degree;free/reduced;none;72;69;64;205
female;group C;some college;free/reduced;none;47;66;57;170
female;group B;master's degree;free/reduced;none;44;68;60;172
male;group B;high school;free/reduced;completed;73;79;67;219
female;group C;high school;free/reduced;none;43;61;57;161
female;group C;some college;standard;none;54;68;67;189
male;group A;high school;standard;none;75;77;68;220
female;group B;associate's degree;standard;none;56;63;60;179
female;group C;bachelor's degree;free/reduced;none;43;57;58;158
female;group E;some high school;standard;completed;70;76;80;226
male;group D;some high school;standard;completed;87;75;83;245
male;group C;high school;standard;none;76;71;63;210
male;group B;associate's degree;standard;none;76;65;65;206
female;group A;bachelor's degree;standard;none;60;67;69;196
female;group E;high school;standard;none;78;73;70;221
female;group A;some high school;standard;none;69;87;74;230
male;group C;high school;standard;completed;70;75;75;220
male;group A;some high school;standard;none;72;64;62;198
male;group C;some college;standard;completed;75;68;68;211
female;group D;high school;standard;none;88;99;92;279
male;group E;associate's degree;free/reduced;completed;54;63;58;175
male;group A;high school;standard;none;59;63;58;180
male;group B;associate's degree;standard;none;60;48;51;159
female;group D;some college;free/reduced;none;48;47;51;146
male;group B;high school;standard;none;59;54;51;164
male;group C;associate's degree;standard;none;93;81;83;257
male;group C;associate's degree;standard;none;74;71;67;212
female;group C;high school;free/reduced;completed;56;83;77;216
female;group C;some high school;standard;none;49;44;49;142
female;group B;some high school;standard;none;63;63;65;191
female;group C;some high school;free/reduced;none;52;66;58;176
female;group C;master's degree;standard;none;87;98;98;283
male;group A;bachelor's degree;free/reduced;none;68;59;59;186
male;group C;bachelor's degree;standard;none;95;89;90;274
male;group E;associate's degree;standard;completed;95;87;90;272
